,index,company,date,link,location,sallary,summary,title,text
0,0,"

        CyberCoders",1 day ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4epZMf2rqWy1NftZuaZ6NfN2EE2x3H9JzQrKnLXeyf2KzL6j6ia0g4Xv0T2Ed_skqSs_sP1CjjL6axUUGL2UVTkQJ-Zhb2dBim1oBr5qS5L4PyZIh11Y89otFjHKOOPRSfrAh9kIB5BOEgnIQ1QVySPYJ08sKAntRKL43L_I1BRIGgxnYDaqBz6P0vdfmu6F27B4FmqRrPTyg3i2C4DNtReZpJdnBK-0EuqOmLzCaOedMzaM0c2nkRBUrzixA6nq75XN1ppJrySjC_K3oF38WOl1VDRGqy0C14CUUOtKREh9rR4B3AmrHiU6nXzyvMWzTBJP76t9bQsiv3-NN_Smiv2Yk7kidkoIl5IarlMDnTehvFLjtkxYOuhHtf3aTfvzxbZFq2F2UcFJE6CvZ-j1DjZc0R6eYr3SIiILXcHj7DTN62qq3GyTkrEN4lFygbbCnYf94A2rHtf-FZDrCA6CyVKXjk-HPUasb7MRzcUhC83z9zkTiHRPlbZOmFYLPJ4k6S-xVX1RH95sYM0Ylxgv0oot-ZzojsOzxd2-Y6BQnrQCBBj0k25lmZHeYR9erOxLHO2hvcsnSJNnyAGccgKpQ82MiP7ekaDGJ4BNvJ3Q30YhR4SNbFTwtvtE=&vjs=3&p=1&sk=&fvj=0,"Pasadena, CA 91101","
                $160,000 - $200,000 a year","
Ethereum Developer - 100% REMOTE. This is a brand new opening for an Ethereum expert! So, if you are a Ethereum Developer - 100% REMOTE with experience, please...",Ethereum Developer - 100% REMOTE,"We are a fully funded blockchain startup that's looking to change the way that financial corporations communicate. Because of our recent influx of clients, we are looking to expand our development team. We currently have a team of about 50 employees based in Los Angeles - several engineers already work fully remote and we have all the tools for you to do so.

 

 This is a brand new opening for an Ethereum expert! We are hoping you have at least 5+ years of professional development experience on AWS, and at least one year of working professionally with Ethereum.

 

 If you're looking for the flexibility to work from home, apply today!

What You Need for this Position

What's In It for You

So, if you are a Ethereum Developer - 100% REMOTE with experience, please apply today!

Applicants must be authorized to work in the U.S.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance."
1,1,"

        EY",1 day ago,https://www.indeed.com/rc/clk?jk=8745405d2ab45d10&fccid=1544766d4c2915b0&vjs=3,"Seattle, WA",,"
            You will lead work flows and teams of developers to design and develop applications in different blockchain platforms such as Hyperledger, Ethereum, Bitcoin and...","
Connected Growth Platform - Blockchain Solution Architect
","The Connected Growth Platform supports our strategy to become the most connected, responsive and insightful consulting firm. The CGP will focus on managed services, digital and emerging technologies (including cyber), service delivery centers, EY wavespace™ and select system implementation practices. The CGP capabilities will be infused into our service offerings and go-to-market execution to provide our clients with cross-sector insights and integrated capabilities across all government and public sector, commercial and financial services sectors in the US. This integration will allow us to move faster, work smarter, and achieve more with our clients.



You will be a part of the US CGP Blockchain team, an innovative and collaborative group of technical developers, cryptographers, mathematicians and business strategists who are dedicated to the application of blockchain technology and the development of world-class products. At EY, you will help our clients, some of the most influential companies, explore emergent applications and transform the way the world does business.

You will have the opportunity to drive the creation of products or assets built on Blockchain technologies and to enable high-value offerings in one or more of our Service Lines. Many offerings, solutions or enablement tools based on Blockchain technologies will require modifications to existing or net new, business models to monetize the value provided. You will support the design and implementation of appropriate new models. You will lead work flows and teams of developers to design and develop applications in different blockchain platforms such as Hyperledger, Ethereum, Bitcoin and other distributed computing environments. You will develop business opportunities, working with subject matter experts from Advisory, Assurance, and Tax service lines.

Blockchain technology is a complex emerging capability that is far from mature. Above and beyond any of the “essential” skills for this job, you must have a love of learning and experimentation with new technologies and a passion for learning by doing and leading by example. If you consider yourself an open source enthusiast, a hobbyist in development or a best in class product developer with a desire to gain knowledge in an emerging market, please apply.
• Lead clients to define overall requirements, matching business requirements to functional requirements, and prioritize functionality.
• In collaboration with service line and account teams, develop collateral materials and other sale assets, meet with account teams and clients, align technical support with account and engagement teams, generally support and enable sales to ‘charter’ accounts.
• For successful prototypes, develop MVP requirements with domain experts; collaborate with Blockchain specialists, engineers and solution development leadership and shepherd the development
• Keep up to date on emerging capabilities in this fast-growing area and identify where and how new capabilities can be applied.
• Contribute to EY’s internal knowledge base on best practices in this emerging technology area. Develop thought leadership content representing EY’s POV on Blockchain applications to internal and external stakeholders.
• Drive the process to mature promising concepts into prototypes which can be leveraged in the marketplace.
• Effectively manage and motivate client engagement teams with diverse skills and backgrounds fostering an innovative and inclusive work environment. Play an active role in counseling and mentoring junior consultants within the organization.

To qualify for the role you must have
• Bachelor's degree and approximately 8 years of related work experience or a graduate degree and approximately 7 years of related work experience.
• Minimum 5 years of experience in application development, preferably on immature platforms and with emerging technologies.
• Previous development experience in Agile teams, ideally with knowledge of TDD environments which are remotely led.
• Understanding of web-scale application development architectures such as SOA and SaaS/PaaS.
• Previous experience of container technologies such as Docker is desirable but not essential.
• Excellent written and verbal communication skills for technical writing and client presentations.
• Demonstrated strategic thinking through a proven ability to research client inquiries and emerging issues related to regulations, industry practice and new application technologies.
• Passionate about technology and applying it to business solutions and interested in Blockchain and associated concepts such as smart contracts.
• Previous experience of tools, deploying and configuring environment in Microsoft Azure is desirable but not essential.

What we look for

We’re interested in self-motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. Someone who can easily function in a collaborative, high demand, performance-driven environment. In addition we’re looking for people who recognize the accomplishments of the team before the individual and are sought after as people developers. If you’re passionate about problem-solving and helping our clients’ with some of their most complex issues, this role is for you.

We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, both pension and 401(k) plans, a minimum of 15 days of vacation plus ten observed holidays and three paid personal days, and a range of programs and benefits designed to support your physical, financial and social well-being. Plus, we offer:
• Excellent training and development opportunities through established programs and on-the-job training
• Feedback on your performance that will accelerate your growth

As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Join us in building a better working world."
2,2,"

        EY",1 day ago,https://www.indeed.com/rc/clk?jk=8cc0bae66dad7c65&fccid=1544766d4c2915b0&vjs=3,"Seattle, WA",,"
            Previous experience with Ethereum (including Solidity), Hyperledger and/or Bitcoin highly desirable but not essential....","
Connected Growth Platform - Blockchain Developer
","The Connected Growth Platform supports our strategy to become the most connected, responsive and insightful consulting firm. The CGP will focus on managed services, digital and emerging technologies (including cyber), service delivery centers, EY wavespace™ and select system implementation practices. The CGP capabilities will be infused into our service offerings and go-to-market execution to provide our clients with cross-sector insights and integrated capabilities across all government and public sector, commercial and financial services sectors in the US. This integration will allow us to move faster, work smarter, and achieve more with our clients.

You will be a part of the US CGP Blockchain team, an innovative and collaborative group of technical developers, cryptographers, mathematicians and business strategists who are dedicated to the application of blockchain technology and the development of world-class products. At EY, you will help our clients, some of the most influential companies, explore emergent applications and transform the way the world does business.

You will have the opportunity to solve technical problems and provide innovative solutions to build and support client systems, applications on distributed infrastructure platforms like Blockchain. You will be responsible for designing and developing applications in different blockchain platforms such as Hyperledger, Ethereum, Bitcoin and other distributed computing environments.

Blockchain technology is a complex emerging capability that is far from mature. Above and beyond any of the “essential” skills for this job, you must have a love of learning and experimentation with new technologies and a passion for learning by doing and leading by example. If you consider yourself an open source enthusiast, a hobbyist in development or a best in class developer with a desire to gain knowledge in an emerging market, please apply.
• Aptitude to learn how to design and develop in the emerging space of distributing computing applications.
• Continuous research on emerging capabilities in this fast-growing area and identify where and how new capabilities can be applied.
• Ability to translate requirements from architects and product managers into functional code.
• Think through and anticipate how hackers and others may attempt to subvert or misuse applications.
• Contribute to EY’s internal knowledge base on best practices in this emerging technology area.
• None Work effectively with client engagement teams with diverse skills and backgrounds fostering an innovative and inclusive work environment.

To qualify for the role you must have
• Bachelor's degree and approximately 3 years of related work experience in application development, preferably on immature platforms and with emerging technologies, or a graduate degree and approximately 1 years of related work experience.
• Expertise in public key cryptography, Zero Knowledge Proofs, and other advanced cryptographic concepts
• Demonstrable knowledge and experience with JavaScript development, including either
• Demonstrable knowledge and experience with testing frameworks such as Mocha or Jasmine.
• Demonstrable knowledge and experience with database technologies such as NoSQL and SQL.
• Previous development experience in Agile teams, ideally with knowledge of TDD environments which are remotely led.
• Understanding of web-scale application development architectures such as SOA and SaaS/PaaS.
• None Excellent written and verbal communication skills for technical writing and client presentations.
• Previous experience with Ethereum (including Solidity), Hyperledger and/or Bitcoin highly desirable but not essential.
• Previous experience in Go, Python or Bash shell scripting is desirable but not essential.
• Previous experience of container technologies such as Docker is desirable but not essential.
• Previous experience of tools, deploying and configuring environment in Microsoft Azure is desirable but not essential.
• Passionate about technology and applying it to business solutions and interested in Blockchain and associated concepts such as smart contracts.

What we look for

We’re interested in self-motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. Someone who can easily function in a collaborative, high demand, performance-driven environment. In addition we’re looking for people who recognize the accomplishments of the team before the individual and are sought after as people developers. If you’re passionate about problem-solving and helping our clients’ with some of their most complex issues, this role is for you.

We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, both pension and 401(k) plans, a minimum of 15 days of vacation plus ten observed holidays and three paid personal days, and a range of programs and benefits designed to support your physical, financial and social well-being. Plus, we offer:
• None Excellent training and development opportunities through established programs and on-the-job training
• None Feedback on your performance that will accelerate your growth

As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Join us in building a better working world.

EY, an equal employment opportunity employer (Females/Minorities/Protected Veterans/Disabled), values the diversity of our workforce and the knowledge of our people."
3,3,"

        EY",1 day ago,https://www.indeed.com/rc/clk?jk=2d459cae69324354&fccid=1544766d4c2915b0&vjs=3,"New York, NY",,"
            Previous experience with Ethereum (including Solidity), Hyperledger and/or Bitcoin highly desirable but not essential....","
Connected Growth Platform Senior- Blockchain Developer
","The Connected Growth Platform supports our strategy to become the most connected, responsive and insightful consulting firm. The CGP will focus on managed services, digital and emerging technologies (including cyber), service delivery centers, EY wavespace™ and select system implementation practices. The CGP capabilities will be infused into our service offerings and go-to-market execution to provide our clients with cross-sector insights and integrated capabilities across all government and public sector, commercial and financial services sectors in the US. This integration will allow us to move faster, work smarter, and achieve more with our clients.

You will be a part of the US CGP Blockchain team, an innovative and collaborative group of technical developers, cryptographers, mathematicians and business strategists who are dedicated to the application of blockchain technology and the development of world-class products. At EY, you will help our clients, some of the most influential companies, explore emergent applications and transform the way the world does business.

You will have the opportunity to solve technical problems and provide innovative solutions to build and support client systems, applications on distributed infrastructure platforms like Blockchain. You will be responsible for designing and developing applications in different blockchain platforms such as Hyperledger, Ethereum, Bitcoin and other distributed computing environments.

Blockchain technology is a complex emerging capability that is far from mature. Above and beyond any of the “essential” skills for this job, you must have a love of learning and experimentation with new technologies and a passion for learning by doing and leading by example. If you consider yourself an open source enthusiast, a hobbyist in development or a best in class developer with a desire to gain knowledge in an emerging market, please apply.
• Aptitude to learn how to design and develop in the emerging space of distributing computing applications.
• Continuous research on emerging capabilities in this fast-growing area and identify where and how new capabilities can be applied.
• Ability to translate requirements from architects and product managers into functional code.
• Think through and anticipate how hackers and others may attempt to subvert or misuse applications.
• Contribute to EY’s internal knowledge base on best practices in this emerging technology area.
• None Work effectively with client engagement teams with diverse skills and backgrounds fostering an innovative and inclusive work environment.

To qualify for the role you must have
• Bachelor's degree and approximately 3 years of related work experience in application development, preferably on immature platforms and with emerging technologies, or a graduate degree and approximately 1 years of related work experience.
• Expertise in public key cryptography, Zero Knowledge Proofs, and other advanced cryptographic concepts
• Demonstrable knowledge and experience with JavaScript development, including either
• Demonstrable knowledge and experience with testing frameworks such as Mocha or Jasmine.
• Demonstrable knowledge and experience with database technologies such as NoSQL and SQL.
• Previous development experience in Agile teams, ideally with knowledge of TDD environments which are remotely led.
• Understanding of web-scale application development architectures such as SOA and SaaS/PaaS.
• None Excellent written and verbal communication skills for technical writing and client presentations.
• Previous experience with Ethereum (including Solidity), Hyperledger and/or Bitcoin highly desirable but not essential.
• Previous experience in Go, Python or Bash shell scripting is desirable but not essential.
• Previous experience of container technologies such as Docker is desirable but not essential.
• Previous experience of tools, deploying and configuring environment in Microsoft Azure is desirable but not essential.
• Passionate about technology and applying it to business solutions and interested in Blockchain and associated concepts such as smart contracts.

What we look for

We’re interested in self-motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. Someone who can easily function in a collaborative, high demand, performance-driven environment. In addition we’re looking for people who recognize the accomplishments of the team before the individual and are sought after as people developers. If you’re passionate about problem-solving and helping our clients’ with some of their most complex issues, this role is for you.

We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, both pension and 401(k) plans, a minimum of 15 days of vacation plus ten observed holidays and three paid personal days, and a range of programs and benefits designed to support your physical, financial and social well-being. Plus, we offer:
• None Excellent training and development opportunities through established programs and on-the-job training
• None Feedback on your performance that will accelerate your growth

As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Join us in building a better working world.

EY, an equal employment opportunity employer (Females/Minorities/Protected Veterans/Disabled), values the diversity of our workforce and the knowledge of our people."
4,4,"
        Rewerdex",2 days ago,https://www.indeed.com/rc/clk?jk=53a6095f594091c7&fccid=4b3823d8498f5a39&vjs=3,"Atlanta, GA",,"
            Responsibilities: Prepares reports, summaries, or replies to inquiries, selecting relevant information from a variety of sources Process the orders, process...","
Administrative Assistant
","Responsibilities:

 Prepares reports, summaries, or replies to inquiries, selecting relevant information from a variety of sources 



 Process the orders, process payables (incoming money transfers, billing, incoming bitcoin/ethereum transfers) 



 Activation and verification account into the crypto exchange 



 Generate invoices for different crypto currencies like (Ethereum, Bitcoin, Litecoin) cooperate with supervisor 



 Manage exclusive listings and their necessary updates 



 Assist Agents with various inquiries, act as a liaison between agents and other departments 



 Maintain all office records and files (transaction files, agent files, etc.) 



 Verifies and records department staff compliance with the agency’s administrative and financial policies 



 Completes internal and external correspondence, legal documents, form letters and other documents 



 Works cooperatively with all team members to support the achievement of work plan activities 



 Produces information by transcribing, formatting, inputting, editing, retrieving, copying, and transmitting text, data 



 Essential Skills and Abilities:

 Basic knowledge of crypto currencies 



 Excellent project management skills with experience in managing and supervising administrative projects 



 Posses supreme organizational skills 



 Strong command over written and verbal communication 



 Excellent interpersonal and presentation skills 



 Good understanding of the organization's overall business and its objectives 



 Possess good knowledge of planning and strategizing financial and budgeting issues 



 Ability to work within a team and provide support to the Organization Staff 



 Ability to perform in cross functional team approach and job responsibilities 



 Experience with basic financial management skills including developing and monitoring budgets and financial reporting 



 A multi-tasker with strong ability to work under under pressure 



 Ability to prioritize work, meet deadlines and produce quality results on time with attention to detail 



 Proficient in using computers with related knowledge of software programs and Internet 



 Proficient in Microsoft office products is essential (Excel, Word, Outlook)."
5,5,"
        RadJav",2 days ago,https://www.indeed.com/rc/clk?jk=a18beb6199fdbdf8&fccid=7a7c89756d0f780a&vjs=3,"Phoenix, AZ","
                $100 an hour","
            Prefer 1+ year(s) experience with coding smart contracts for either Ethereum or Lisk. Click here for the project description....","
Blockchain Developer
","Click here for the project description 

 Full-time positions, part-time positions, and contracted positions are all available!

We are searching for a blockchain developer for either telecommuting or relocation to Phoenix, AZ. The developer must be passionate about creating new innovative blockchain technologies and platforms. Our platform is unique in nature and will be a game changer in the datacenter industry. The technologies being developed will heavily use cryptography, peer-to-peer network protocols, and distributed storage techniques.
• $100 USD/hr is available for part time contractors.
• For every 160 hours (1 month) spent on the project, you'll earn 5,000 XRJ coins.

What we are looking for
• Understanding of how blockchain technologies and how distributed storage systems work.
• Experience with homomorphic encryption is a huge plus.
• A bachelors degree in Computer Science or Mathematics is a plus.
• Prefer 1+ year(s) experience with coding smart contracts for either Ethereum or Lisk.
• Understanding of common security flaws in websites and databases.
• Strong C++ experience, Javascript is a plus.
• Have a deep understanding of different blockchain consensus methods.
• Help design and create a new simplified scripting language for the blockchain technology.
• Create detailed documentation as to how the blockchain technology operates.

Please email your resume and contact information to: hiring@highersoftware.com"
6,6,"
        RadJav",2 days ago,https://www.indeed.com/rc/clk?jk=9baabd92f5fd3693&fccid=7a7c89756d0f780a&vjs=3,"Phoenix, AZ",,"
            Experience with Ethereum, NEO, or Lisk is a plus. Phoenix, AZ or Telecommute....","
Server Developer
","We are searching for a server developer for either telecommuting or relocation to Phoenix, AZ. The developer must be self-motivated and hard working. Our platform is unique in nature and will be a game changer for developers everywhere. Want to work in an environment where your input matters and you can create what you want?

What we are looking for
• Strong C++ experience is a requirement, Javascript is a plus.
• Experience with Ethereum, NEO, or Lisk is a plus.
• Experience with WebSocket servers and clients are a plus.
• Create detailed documentation as to how the tools operate.
• Work with our community to help make our tools the best they can be.

Please email your resume and contact information to: hiring@highersoftware.com"
7,7,"
        RadJav",2 days ago,https://www.indeed.com/rc/clk?jk=cce513a1a54eb1d5&fccid=7a7c89756d0f780a&vjs=3,"Phoenix, AZ",,"
            Experience with Ethereum, NEO, or Lisk is a plus. Phoenix, AZ or Telecommute....","
UI Developer
","We are searching for a GUI developer for either telecommuting or relocation to Phoenix, AZ. The developer must be self-motivated and hard working. Our platform is unique in nature and will be a game changer for developers everywhere. Want to work in an environment where your input matters and you can create what you want?

What we are looking for
• Strong C++ experience is a requirement, Javascript is a plus.
• Experience with Ethereum, NEO, or Lisk is a plus.
• Experience with wxWidgets is a plus.
• Create detailed documentation as to how the tools operate.
• Work with our community to help make our tools the best they can be.

Please email your resume and contact information to: hiring@highersoftware.com"
8,8,"
        RadJav",2 days ago,https://www.indeed.com/rc/clk?jk=4b17f483019e04c6&fccid=7a7c89756d0f780a&vjs=3,"Phoenix, AZ",,"
            Experience with Ethereum, NEO, or Lisk is a plus. Phoenix, AZ or Telecommute....","
UI/3D Tools Developer
","We are searching for a UI/3D tools developer for either telecommuting or relocation to Phoenix, AZ. The developer must be self-motivated and hard working. Our platform is unique in nature and will be a game changer for developers everywhere. Want to work in an environment where your input matters and you can create what you want?

What we are looking for
• Strong JavaScript experience is a requirement, C++ experience is a plus.
• Experience with Ethereum, NEO, or Lisk is a plus.
• Experience with Ogre 3D or Three.js is a plus.
• Design UI and 3D tools that will be used by developers.
• Create detailed documentation as to how the tools operate.
• Work with our community to help make our tools the best they can be.
• Assist with the game development team with making a video game.

Please email your resume and contact information to: hiring@highersoftware.com"
9,9,"
        MyEtherWallet Inc",2 days ago,https://www.indeed.com/company/Enkrypt/jobs/Ui-Ux-Design-Intern-860a937f012079cf?fccid=fd643958bd02dac4&vjs=3,"Los Angeles, CA",,"
            MyEtherWallet (our friends call us MEW) is a free, client-side interface helping you interact with the Ethereum blockchain....","
UI/UX Design Intern
","We're looking for a UI/UX Intern based n Los Angeles. The UI/UX intern will work closely with the Head of design and the Development team to flush out a better and new navigational path to improve the user experience, that will eventually lead to higher conversion rates.

MyEtherWallet (our friends call us MEW) is a free, client-side interface helping you interact with the Ethereum blockchain. Our easy-to-use, open-source platform allows you to generate wallets, interact with smart contracts, and so much more. We are a team of crypto-enthusiasts dedicated to bring you the most secure, most intuitive, and dare we say prettiest way to manage your ETH and ERC-20 tokens.
• Above all. You’re a nice person. You don’t know everything, and you don’t think you know everything, but you’re curious and excited to learn.
• You are self-motivated and a proactive team player who can follow direction with minimal supervision.
• Must be currently enrolled in an accredited university, working towards an undergraduate degree.
• Must be able to commit 10 to 20 hours per week.
• Work closely with the Head of Design to create simple creative solutions to complicated design needs that follow the current UI style guidelines.
• Work closely with engineers to implement features UI and UX flows.
• Mock up and prototype features according to spec.
• Provide variety of solutions to design needs.
• Rapidly iterate and test a variety of ideas using wireframes, sketches and fully designed comps when needed.
• Knowledge of Illustration/drawing, CSS/HTML and JavaScript are huge plus.
• Knowledge about Cryptocurrency industry is a huge plus.

This internship is paid, and pay rate will be determined upon qualifications review.

Please submit a RESUME and PORTFOLIO when you apply."
