,index,company,country,date,link,location,sallary,summary,title,text
0,0,"
        Gemini Trust",USA,Today,https://www.indeed.com/rc/clk?jk=8c2b075aadba68a4&fccid=2c6970e8e3aef328&vjs=3,"New York, NY",,"
            Working with Bitcoin, Ethereum, and/or blockchain technology. We built the Gemini platform so customers can buy, sell, and store digital assets (e.g., Bitcoin,...","
Technical Project Manager
","Help us Build the Future of Money

Gemini Trust Company, LLC (Gemini) is a licensed digital asset exchange and custodian. We built the Gemini platform so customers can buy, sell, and store digital assets (e.g., Bitcoin, Ethereum, and Zcash) in a regulated, secure, and compliant manner.

Digital assets and blockchain technology have the power to transform the world for good. This truth, along with our core values, form the bedrock of our company and culture. At Gemini, no job is too small and no project too big as we endeavor to build the future of money. We are a mission-driven, team-based, inclusive, and determined community of thought leaders who invest in each other and the long game. Join us in our mission!

Our team is made up of business analysts, product managers, and skilled technical project managers. We draw from top players in the financial and technology industries who are ready to stretch themselves and face the unique and exciting challenges of the digital asset world. We are an internal “think tank” that tackles complex, cross-functional projects, iterates on existing products, and acts as the go-to team for Leadership’s technical vision.

Our Project Managers combine systematic analysis and detailed planning to assist in the execution of initiatives across the company. In this role, you'll identify, manage, and iterate on technical projects while defining the “how” and “when.” A Gemini Project Manager is an expert cross-functional collaborator who involves all relevant stakeholders and ensures technical feasibility for critical team initiatives.
• Coordinate internal resources and third parties/vendors to ensure flawless execution
• Ensure that all projects are delivered on-time and within scope
• Track relevant metrics, specifically to analyze the successful completion of short and long-term goals
• Minimum of 5 years of working experience, with a proven track record of compiling project plans and timely execution
• History of delivering both small- and large-scale financial projects with the following skills:
• Effectively tracking resources and work dependencies to identify and monitor risks.
• Ability to quickly pivot to meet new/updated business needs by understanding changing priorities
• Ability to define and manage the scope in order to deliver business solutions that fit the needs of the firm.
• Solid organizational skills, attention to detail, and proven ability to manage multiple projects with competing timelines
• Knowledge of and experience with:
• Financial technology, such as exchanges or trading firms

It Pays to Work Here

We take a holistic approach to compensation at Gemini, which includes:
• Ownership in the company via profit sharing units

Gemini is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know."
1,1,"

        Gemini",USA,Today,https://www.indeed.com/rc/clk?jk=ff5c9ed76c948f46&fccid=0da76a4c8a948e27&vjs=3,"New York, NY 10011 (Chelsea area)",,"
            Working with Bitcoin, Ethereum, and/or blockchain technology. We built the Gemini platform so customers can buy, sell, and store digital assets (e.g., Bitcoin,...","
Technical Project Manager
","
• Coordinate internal resources and third parties/vendors to ensure flawless execution
• Ensure that all projects are delivered on-time and within scope
• Track relevant metrics, specifically to analyze the successful completion of short and long-term goals
• Minimum of 5 years of working experience, with a proven track record of compiling project plans and timely execution
• History of delivering both small- and large-scale financial projects with the following skills:
• Effectively tracking resources and work dependencies to identify and monitor risks.
• Ability to quickly pivot to meet new/updated business needs by understanding changing priorities
• Ability to define and manage the scope in order to deliver business solutions that fit the needs of the firm.
• Solid organizational skills, attention to detail, and proven ability to manage multiple projects with competing timelines
• Knowledge of and experience with:
• Financial technology, such as exchanges or trading firms
• Ownership in the company via profit sharing units

Help us Build the Future of MoneyGemini Trust Company, LLC (Gemini) is a licensed digital asset exchange and custodian. We built the Gemini platform so customers can buy, sell, and store digital assets (e.g., Bitcoin, Ethereum, and Zcash) in a regulated, secure, and compliant manner.Digital assets and blockchain technology have the power to transform the world for good. This truth, along with our core values, form the bedrock of our company and culture. At Gemini, no job is too small and no project too big as we endeavor to build the future of money. We are a mission-driven, team-based, inclusive, and determined community of thought leaders who invest in each other and the long game. Join us in our mission!Product and Project ManagementOur team is made up of business analysts, product managers, and skilled technical project managers. We draw from top players in the financial and technology industries who are ready to stretch themselves and face the unique and exciting challenges of the digital asset world. We are an internal ""think tank"" that tackles complex, cross-functional projects, iterates on existing products, and acts as the go-to team for Leadership's technical vision.Technical Project ManagerOur Project Managers combine systematic analysis and detailed planning to assist in the execution of initiatives across the company. In this role, you'll identify, manage, and iterate on technical projects while defining the ""how"" and ""when."" A Gemini Project Manager is an expert cross-functional collaborator who involves all relevant stakeholders and ensures technical feasibility for critical team initiatives.It Pays to Work HereWe take a holistic approach to compensation at Gemini, which includes:Gemini is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know."
2,2,"
        Filament",USA,Today,https://www.indeed.com/rc/clk?jk=d18e8c918f02f07d&fccid=dfffd9153d0a5a53&vjs=3,"Denver, CO",,"
            JUNIOR SOLUTIONS CONSULTANT- TECHNICAL, DIRECTOR LEVEL Full-time Denver, CO Who We Are Filament (www.filament.com) builds blockchain hardware and software...","
Junior Solutions Consultant - Technical
","Who We Are

Filament (www.filament.com) builds blockchain hardware and software solutions for the enterprise and Industrial Internet of Things (IIoT), allowing companies to securely connect devices and machines that interact and transact value independent of a central authority.

We are growing rapidly and looking for a Junior Solutions Consultant Technical.

A creative, technical ""painter"" with a blank sheet of paper helping clients technically understand the art of the possible within the intersection of Blockchain and Industrial IoT. Responsible for supporting our sales and professional services teams by doing technical demonstrations and building solutions. Will routinely be needed to support technical requests from customers and potential customers, build proof of concepts, and deliver technical demonstrations. You will work under our Senior Solutions Consultants to work directly with clients to build solutions Senior consultants' scope.
• Must Have:
• Recent up to date hands on programming experience
• A Bachelor's degree, preferably in IT or computer science, advance degree desirable.
• Minimum 5 years professional services and/or technical consulting experience in client facing roles where 4+ years of experience is in a technical role, with at least 1 year in a customer facing role.
• Hands on programming experience JavaScript and SQL are ideal.
• Previous experience in a software development (personal projects are OK if they can be demonstrated)
• Implementation experience with an emphasis on technical integrations working with enterprise wide deployments.
• A proven track record of understanding the requirements of technical delivery and owning the execution of the implementation.
• Must be able to manage multiple projects utilizing strong planning and organizational skills.
• Strong written and verbal skills, particularly in conveying technical concepts in a way that is easy for clients and non-technical partners to understand.
• Proven ability to work with, connect to, and influence people internally and externally.
• Communicate effectively in one-on-one, small and large groups, and/or among diverse styles and position levels.
• Be responsive and follow through. Do what you say you will do.
• Collaborate and build partnerships with others to meet shared objectives.
• Have a growth mindset and actively learn through experimentation. Embrace challenge and learn from failures.
• An opportunity to be part of an exciting, innovative blockchain company."
3,3,"
        PayBear",USA,Today,https://www.indeed.com/rc/clk?jk=8c6763d5b2c5b8d0&fccid=2dce412c53fa2f95&vjs=3,Remote,,"
            Understanding of blockchain, especially with smart contracts, Ethereum and dapps (BIG plus). PayBear is a cutting-edge cryptocurrency platform working towards...","
Frontend Software Engineer
","PayBear is a cutting-edge cryptocurrency platform working towards the creation of a global toolkit for crypto-based financial products.

With the initial version of our payment gateway already up and running, we’re now focused on incorporating new products into our growing ecosystem.

However, our work is not yet complete! We’re in need of an Frontend Software Engineer to apply their impressive skills towards the creation of even more amazing products at PayBear.

An enthusiastic individual willing to join our fast growing start-up in the crypto-market.

What do we expect from you:

Open to product changes and willing to work in a fast-paced start-up environment

Has the desire and ability to solve open-ended problems in a highly-functional, elegant, and scalable manner, and to think strategically about how we evolve the PayBear products

Write modular and high-quality code with unit and integration tests

What we need from you:

Strong experience with React is a must

Proven ability to develop applications with complex interfaces, data layers and networking layers

Familiarity with developing tools such as npm, babel/webpack and yarn.

Experience interacting & maintaining information from RESTful APIs and working with real-time features

Knowledge in best practices for the whole software development cycle (TDD/CI/CD) and agile methodologies.

Understanding of blockchain, especially with smart contracts, Ethereum and dapps (BIG plus)

Strong and coherent UX and design sensibilities, and ability to effectively analyse and articulate these elements.

Why work for us?
• Possibility to make a big impact on the product"
4,4,"
        OKCoin USA, Inc.",USA,Today,https://www.indeed.com/rc/clk?jk=595bf2682cc0c349&fccid=63aacc62ac445d2d&vjs=3,"San Francisco, CA 94105 (Financial District area)",,"
            Founded in 2013, we provide traders and institutions with a fiat-to-token trading platform for digital assets including Bitcoin, Bitcoin Cash, Ethereum,...","
AML analyst
","OKCoin is one of the world’s first and largest regulated digital asset exchanges, with millions of users in more than 100 countries around the world. Founded in 2013, we provide traders and institutions with a fiat-to-token trading platform for digital assets including Bitcoin, Bitcoin Cash, Ethereum, Ethereum Classic and Litecoin, with more assets coming soon. Offering fast trades and industry-leading expertise and support, our mission is to help eliminate trading barriers and improve transaction efficiency while complying with the highest regulatory standards in the US and the world.
• Assist AML Officer with business related license applications and communications with regulators
• Coordinate with license providers regarding ongoing reporting requirements and renewals.
• Assist with State MTL examinations with AML Officer and teammates.
• Formulate new processes to enhance onboarding process, including to support new or expanded territories.
• Lead applications for bank and/or PSP accounts to support the settlement of customers fiat deposit and withdrawals.
• Conduct research of US and global regulatory trends.
• Other planning/administrative duties to assist the AML/Compliance Team.
• Position is located in US, with up to 5% travel within US and overseas (potentially to Beijing and Hong Kong where company affiliates are located),
• Minimum 1 year of experience in leading compliance controls such as AML (Anti-Money Laundering), KYC (Know Your Customer), CDD (Customer Due Diligence), CIP (Customer Identification Program) and Trade & Economic Sanctions screening (for Politically Exposed Persons as an example),
• Strong background in conducting compliance due diligence in a FinTech or Financial industry with superior understanding of anti-terrorism, anti-money laundering, and trade & economic sanctions principles.
• Strong knowledge in Bitcoin (or other digital assets) trading platforms,
• Exceptional communicator in English, a second language (such as Mandarin and Spanish) is a plus.
• Bachelor’s Degree preferred in Business/Finance/Economics/Law or related focus on AML/ATF/Sanctions.

OKCoin Statement: 

 OKCoin is committed to equal employment opportunities regardless of race, color, genetic information, creed, religion, sex, sexual orientation, gender identity, lawful alien status, national origin, age, marital status, and non-job related physical or mental disability, or protected veteran status."
5,5,"
        XY - The Persistent Company",USA,1 day ago,https://www.indeed.com/company/XY---The-Persistent-Company/jobs/Customer-Obsession-Call-Center-Representative-f21cbd621f8cd505?fccid=9d4513da3a646e45&vjs=3,"San Diego, CA","
                $15 - $18 an hour","
            Ethereum-based smart contracts give the ability to utilize the blockchain and crypto-economic principles across countless industries and implementations....","
Customer Obsession Call Center Representative
","Ethereum-based smart contracts give the ability to utilize the blockchain and crypto-economic principles across countless industries and implementations. However, we currently don’t have a decentralized and authoritative oracle to determine and verify location. The XYO Network solves this problem by creating a layered location verification service that is effective across many device classes and smart contract protocols. It’s based on a set of novel cryptographic mechanisms, Proof of Origin and Bound Witnesses, which tie together the power of the blockchain and real-world data collection into a system with direct applications today. The XYO Network is also the world's first Proof of Location blockchain project with over 1 million Bluetooth and GPS devices in the world. Please visit https://www.xyo.network to learn more. The company behind XYO Network is XY Findables, which was started in 2012 and has produced over 1 million devices in the Bluetooth & GPS Findables businesses. Here is the corporate website of XY Findables (https://www.xyfindables.com/).

We are currently searching for a polite, professional Call Center Representative to work closely with other team members in the Customer Obsession Department to provide outstanding service to our investors and purchasers by answering questions, handling complaints, and troubleshooting problems with our products and services. The Call Center Representative may handle a high volume of inbound or outbound calls or both and should seek to create a positive experience for each caller. They will listen to understand the reason for their call, address all questions or complaints, and provide an accurate and efficient response.To be a successful Call Center Representative, you should be customer-focused, detail oriented, polite, reliable, and knowledgeable.

At XYO, we're making history by bringing the power of Blockchain to the offline world with the world's first crypto-location network. From a laid back team atmosphere located 4 blocks from San Diego Harbor to unlimited Coke Zeros, we're always on the hunt for smart, driven individuals excited about working on the next big thing. Interested? Apply today!
• Call all new investors/purchasers to welcome into the family
• Follow up calls where necessary
• Strong phone and verbal communication skills along with active listening"
6,6,"
        Live Planet",USA,1 day ago,https://www.indeed.com/company/Live-Planet/jobs/Videocoin-Product-Manager-22e92296dcd0ab1a?fccid=93bdb16c1dbcbbfc&vjs=3,"San Jose, CA",,"
            Company Overview Live Planet, Inc. develops infrastructural technologies to enable next-generation video applications. Live Planet was founded by serial...","
VideoCoin Product Manager
","Responded to 75% or more applications in the past 30 days, typically within 6 days.

Live Planet, Inc. develops infrastructural technologies to enable next-generation video applications. Live Planet was founded by serial entrepreneur Halsey Minor, who to date has founded or co-founded technology companies that have created over $100 billion in cumulative value, including: CNET, Uphold, Salesforce, Google Voice, OpenDNS, and Vignette.
• The Live Planet VR System: the only end-to-end capture, distribution, and monetization system for immersive video. The Live Planet System makes it easy, practical, and affordable to create and deliver stereoscopic VR and 360° video, whether live or recorded, allowing creators to focus on their productions and applications. (www.LivePlanet.net)
• The VideoCoin Network: video infrastructure for a blockchain-enabled Internet. The VideoCoin Network is a decentralized video encoding, storage, and content distribution system that turns all cloud-based video services into an efficient algorithmic market running on a new blockchain with a native protocol token, the VideoCoin. (www.VideoCoin.io)

We are looking for a seasoned and ambitious Product Manager to drive and manage the product roadmap for our VideoCoin Network.
• Work on defining the product roadmap to bring video streaming infrastructure to a blockchain powered, decentralized model
• Define, communicate and champion the product vision and strategy to all internal and external stakeholders.
• Work collaboratively with and engage engineering leaders both within our company and within the open source blockchain community
• Define, track and interpret key business metrics to track overall product success
• Identify and evaluate industry trends, new service ventures and new technologies as they relate to new product development
• Work closely with customers to identify customer and market needs, define use cases and establish user personas
• Own the product roadmap, lead the product feature planning process and work closely with engineering to ensure successful delivery
• Define, track and interpret key business metrics to track overall product success
• Understand the market and competition, and develop product and competitive positioning
• 5+ years Product Management experience, most of which has been spent on deeply technical SaaS products
• Must be experienced with Blockchain technologies. Knowledge of Ethereum protocol strongly desired
• Experience with different consensus protocols and real-world implementations
• Has deep ecosystem knowledge of blockchain technologies and tool chains
• Strong interpersonal skills and ability to work with constantly evolving, decentralized, diverse teams
• Effective verbal and written communication skills, able to write clearly and interact well with all levels of audience.
• An understanding of software development and ability to work closely with Technology teams in scheduling functional and non-functional requirements
• High emotional intelligence and the ability to empathize with users
• Experience coaching, motivating, and giving feedback to a team of developers
• Ability to organize, sort and act upon complex information quickly
• Ability to thrive in an exciting team environment where being self-directed, determined, and resilient are a requirement
• Collaborative by nature; willingness to give and receive feedback
• Open to learning; flexible to the project you are working on
• Comfortable with ambiguity; welcomes the challenge of developing new ideas and approaches in a semi-unstructured environment

Live Planet is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
7,7,"
        OKCoin USA, Inc.",USA,1 day ago,https://www.indeed.com/rc/clk?jk=c1be22fe78410886&fccid=63aacc62ac445d2d&vjs=3,"San Francisco, CA 94105 (Financial District area)",,"
            Founded in 2013, we provide traders and institutions with a fiat-to-token trading platform for digital assets including Bitcoin, Bitcoin Cash, Ethereum,...","
Product Manager
","OKCoin is one of the world’s first and largest regulated digital asset exchanges, with millions of users in more than 100 countries around the world. Founded in 2013, we provide traders and institutions with a fiat-to-token trading platform for digital assets including Bitcoin, Bitcoin Cash, Ethereum, Ethereum Classic and Litecoin, with more assets coming soon. Offering fast trades and industry-leading expertise and support, our mission is to help eliminate trading barriers and improve transaction efficiency while complying with the highest regulatory standards in the US and the world.
• Own the consumer experience from registration to digital currency trading
• Work with cross-functional team to define and deliver product roadmap
• Collaborate with designers and engineers to develop detailed product specification
• Plan, organize, and deliver new products and features to the market
• Stay informed of the overall market landscape, including competitors and potential partners
• Work with Marketing to develop and optimize new user acquisition and retention
• Monitor key product metrics and continuously improve them through ongoing product iteration
• Must have prior product leadership experience with a track record of managing all aspects of a successful product throughout its lifecycle
• Excellent written and verbal communications skills; ability to translate strategy into clear and actionable plans for Product Development, Engineering, Design and Sales
• Ability to understand and assess engineering, design and schedule tradeoffs
• Have a eye for good design and user experience
• Strong analytical, prioritization, and problem solving skills and willingness to roll up one’s sleeves to get the job done
• Ability to travel to Beijing up to 50% or more.

OKCoin Statement: 

 OKCoin is committed to equal employment opportunities regardless of race, color, genetic information, creed, religion, sex, sexual orientation, gender identity, lawful alien status, national origin, age, marital status, and non-job related physical or mental disability, or protected veteran status."
8,8,"
        Apprio Inc.",USA,1 day ago,https://www.indeed.com/company/Apprio-Inc./jobs/Mobile-Solution-Specialist-464974220317b5b0?fccid=29d53c699af4f174&vjs=3,"Washington, DC",,"
            AI, ML frameworks like Google TensorFlow, Amazon ML Scikit-learn, etc. or distributed ledger systems like Bitcoin, Ethereum, Stellar, etc.)....","
Mobile Solutions Specialist (Data Scientist)
","Apprio is an innovator of specialized technology and program solutions for the federal health, defense, and homeland security markets. The company provides services in technology transformation, organizational excellence, health IT & solutions, emergency response management, and international development. Apprio delivers the methodologies, discipline and expertise provided by the large integrators, with the cost structure and collaboration offered by smaller firms. Year after year we’ve grown by 50% or more due to our holistic approach in delivering solutions, thought-leadership, and synergistic teams to address our client’s needs.

Apprio is seeking an experienced Mobile Solutions Specialist to support our fully funded contract with USAID. The Mobile Solutions Specialist is responsible for working with other technical advisors to determine appropriate, context-relevant roles for emerging technologies in addressing priority development challenges and enhancing the Agency’s capacity to responsibly integrate emerging analytical methods into routine decision making.
• Assembles, analyzes, and communicates original analysis regarding potential roles for emergent approaches and technologies in international development programming.
• Cultivates relationships and coordinates with other Bureaus, Missions, and other partners to ensure alignment with emergent analytical methods (e.g. machine learning) to support USAID programs within and external to the Agency.
• Coordinating and Applying data science techniques to help address international development and humanitarian challenges.
• Facilitate discussion among Key USAID stakeholders to articulate a vision and plan for responsible integration of emerging technologies and novel data science approaches into planning, delivering and assessing development programs.
• Test emerging technologies abilities to analysis, process and manage the data from a range of sources for improved decision making.
• Collaborate with colleagues within relevant pillar and regional bureaus and missions in order to reflect the broader agency needs and requirements within emerging partnerships. Consults as needed with other federal agencies to identify synergies and areas of further leverage.
• In coordination with knowledge management and communications staff and experts, prepares or coordinates preparation of reports, briefings, conferences, publications, training, and other means of promoting wide understanding of improved knowledge and methods.
• Assists in development of materials to facilitate the creation of technical and non-technical strategic guidance to keep missions and team members coordinated on various analytical and mobile solutions best practices.
• Performs a variety of other duties related to special projects involving administrative or program issues. Special projects include research of mobile solutions currently ongoing, strategic assessment of other donors promoting mobile solutions, and assessment of commercial viability of sector-specific solutions such as mobile agriculture/health/etc. initiatives.
• Provide training and capacity building services to around mobile solutions and analytical approaches in the context of international development programming.
• Knowledge of and /or demonstrated interest in international development.
• Exceptional, creative and streamlined writing skills that demonstrate cognitive thinking, analytic rigor and integration of diverse thoughts and ideas.
• Self-starter attitude, willing and capable of performing internal and external outreach and developing relationships with a wide set of actors in the international development community and across the private sector, with little guidance.
• Demonstrated interest or background in relevant platforms for emerging technologies or analytical approaches (e.g.; AI, ML frameworks like Google TensorFlow, Amazon ML Scikit-learn, etc. or distributed ledger systems like Bitcoin, Ethereum, Stellar, etc.)
• Passion for researching new topics and educating team members on key findings and trends, particularly as they relate to Emerging Technology
• Strong quantitative background and experience in, e.g., data collection, machine learning, processing and applied analysis and visualization using statistical software for programming languages (e.g.; Python, R, Stata, SPSS, MATLAB, Tableau)
• Passion for the role Information and Communication Technologies play in advancing international development objectives and driving inclusive development using mobile and digital channels.
• Ability to work well in teams.

Apprio offers a collegial and supportive environment focused on its greatest assets…its people. With a competitive compensation and benefits program designed to attract, motivate, and develop our people; we pride ourselves on creating a culture of teamwork, client focus, and fun. Our benefits program allows our employees to select the features that make the most sense for their individual and/or dependent(s) needs. Features include medical, prescription drug, dental, vision, disability, retirement savings, and a competitive paid time off program. Apprio is an equal employment opportunity company. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status."
9,9,"

        VMware",USA,3 days ago,https://www.indeed.com/rc/clk?jk=96052d24e1300713&fccid=c762a27145bd166e&vjs=3,"Palo Alto, CA 94304",,"
            Experience with Ethereum, Hyperledger a plus. Blockchain is an emerging technology that promises to change the world we live in....","
Blockchain Member of Technical Staff
","Blockchain is an emerging technology that promises to change the world we live in. With VMware’s vast experience in building highly trusted distributed systems we have been doing advanced research in this space for several years. We are now building out a team of highly skilled engineers to build on this research for VMware.
• Contribute to the implementation of a blockchain environment including but not limited to the consensus layer, distributed ledger, and smart contracts layer. This could include dealing with the data layer, the security layer, or a distributed network layer.
• Contribute to the implementation of a SaaS service that manages and monitors blockchain replica
• Contribute to the implementation of a deployment service that deploys blockchain replicas across clouds
• Collaborate effectively with other engineers to solve complex problems.
• Assist with debugging and verification of defects in your own and others' work
• Experience in one of the following disciplines:
• Experience in mainstream programming languages such as Java/C/C++.
• Exposure to multiple programming languages is desired, as the ability to pick up and use the language that suits a body of work is expected"
