,word
0,Active-Matrix
1,ActiveX
2,AGP
3,AIFF
4,ANSI
5,Apple
6,Applet
7,Archie
8,ASCII
9,ASP
10,Affiliate
11,Autoresponder
12,ATM
13,ATA
14,AIX
15,Adware
16,Alert Box
17,Analog
18,Application
19,API
20,ASP.NET
21,ADSL
22,Algorithm
23,ADF
24,Ad Hoc Network
25,Array
26,Access
27,ACL
28,Abend
29,ARP
30,ADC
31,Add-on
32,Avatar
33,Access Point
34,Android
35,Archive
36,Address Bar
37,Antivirus
38,Artificial Intelligence
39,Apache
40,ALU
41,Ajax
42,Adapter
43,Active Cell
44,Architecture
45,App
46,Alpha Software
47,Animated GIF
48,APU
49,AUP
50,Assembly Language
51,Assembler
52,Assistive Technology
53,ATX
54,Adaptive Content
55,Attachment
56,Augmented Reality
57,Accessibility
58,Active Directory
59,APFS
60,Aspect Ratio
61,Autocomplete
62,Autocorrect
63,Activation Key
64,Authentication
65,ANR
66,AVR
67,Archive Bit
68,Bandwidth
69,Baud
70,Beta Software
71,Binary
72,Bit
73,Bitmap
74,Bookmark
75,Bot
76,bps
77,Byte
78,Boolean
79,Broadband
80,BIOS
81,Burn
82,Bluetooth
83,Buffer
84,Blog
85,Bridge
86,Blu-ray
87,Base Station
88,Boot
89,Boot Disk
90,Backbone
91,Bus
92,Banner Ad
93,Backside Bus
94,BMP
95,BASIC
96,Bespoke
97,Blob
98,Bitrate
99,Bounce
100,Batch File
101,Batch Process
102,Bcc
103,BitTorrent
104,Backup
105,Boot Sequence
106,Bug
107,Boot Sector
108,Baseband
109,Botnet
110,Blacklist
111,Backlink
112,Barebones
113,Biometrics
114,Bing
115,Bezel
116,BarCraft
117,Bare Metal
118,Bare Metal Restore
119,Brouter
120,BSOD
121,Bloatware
122,Bash
123,Big Data
124,Bitcoin
125,Bézier Curve
126,Breadcrumbs
127,Brownfield
128,Bootstrap
129,Bytecode
130,Blockchain
131,Cable Modem
132,Cache
133,CAD
134,CGI
135,Cookie
136,CPU
137,C/C++
138,CISC
139,Chipset
140,CRM
141,Cyberspace
142,CMOS
143,Codec
144,Configuration
145,Computer
146,Cursor
147,Client
148,Compact Flash
149,Crossplatform
150,Controller Card
151,Clone
152,Clean Room
153,CD-R
154,CD-RW
155,CD
156,CD-ROM
157,Copy
158,Clock Speed
159,Camera RAW
160,CPA
161,CPC
162,CPL
163,CPM
164,CTR
165,Character
166,CRT
167,CMYK
168,Cluster
169,Cron
170,CSS
171,Computer Ethics
172,Clip Art
173,Clipboard
174,CTP
175,CDMA
176,Certificate
177,CCD
178,Cybercrime
179,Component
180,Cc
181,CPS
182,Crop
183,Caps Lock
184,Control Panel
185,Commercial Software
186,Compile
187,Compiler
188,Command Prompt
189,Chip
190,Card Reader
191,Contextual Menu
192,Cross-Browser
193,Cut
194,Checksum
195,Cloud Computing
196,Captcha
197,CLOB
198,Copyright
199,Cyberbullying
200,Cell
201,Cybersquatter
202,Clock Cycle
203,Character Encoding
204,CDFS
205,Compression
206,Class
207,Column
208,Clean Install
209,Console
210,Constant
211,Cloud
212,Copyright Infringement
213,CIFS
214,Cold Boot
215,CamelCase
216,CMS
217,CDN
218,Coaxial Cable
219,C#
220,Crash
221,Computer Science
222,Command Line Interface
223,Chromebook
224,Cryptography
225,CUDA
226,Circuit
227,Client-Server Model
228,Cell Reference
229,Container
230,Cable Management
231,CAN
232,Collision
233,Default
234,Degauss
235,DHCP
236,DNS
237,Domain Name
238,Dongle
239,Dot Pitch
240,Download
241,DSL
242,Driver
243,DVD
244,Database
245,DIMM
246,DLL
247,Defragment
248,DDR
249,DVI
250,DVD-RAM
251,DVD-R
252,DVD+R
253,DVD-RW
254,DVD+RW
255,Dialog Box
256,Digital
257,DV
258,Debug
259,Debugger
260,DRM
261,Delete
262,Desktop
263,DTD
264,Dashboard
265,Drag
266,Double Click
267,Digitize
268,DirectX
269,Directory
270,DVR
271,Direct3D
272,DBMS
273,DDR2
274,DNS Record
275,Desktop Publishing
276,Daemon
277,DSLAM
278,DMA
279,Data
280,Data Transfer Rate
281,Dual-Core
282,Del.icio.us
283,Domain
284,DPI
285,DRAM
286,DOS
287,Data Type
288,Disk Image
289,Domain Suffix
290,DAC
291,Dot Matrix
292,DDL
293,Dial-up
294,Digital Signature
295,Dynamic Website
296,Data Management
297,Direct Digital Marketing
298,Digital Camera
299,Dock
300,Drop Down Menu
301,Dithering
302,Disk Drive
303,Default Program
304,Deprecated
305,Desktop Computer
306,Denial of Service
307,Drag and Drop
308,Document
309,DCIM
310,DDR3
311,Donationware
312,DAW
313,DLC
314,DFS
315,Dual Boot
316,Docking Station
317,Dvorak Keyboard
318,Digital Footprint
319,Drive
320,DMZ
321,Developer
322,Denary
323,DAS
324,Diode
325,Design Pattern
326,Drive-By Download
327,Datagram
328,DKIM
329,Dual Processor
330,Data Mining
331,Data Science
332,DDR4
333,Desk Checking
334,Downtime
335,Email
336,Emoticon
337,Encryption
338,Ethernet
339,E-commerce
340,Escape Key
341,Edutainment
342,Exabyte
343,End User
344,EUP
345,Exbibyte
346,EPS
347,EDI
348,Excel
349,External Hard Drive
350,E-mail Bankruptcy
351,Emulation
352,Extranet
353,Expansion Card
354,ECC
355,EIDE
356,Export
357,Encoding
358,Executable File
359,Ergonomics
360,E-reader
361,EXIF
362,eSports
363,eBook
364,Enterprise
365,Extensible
366,eSATA
367,Email Bomb
368,E-learning
369,Enum
370,Emoji
371,Email Address
372,Exception
373,El Capitan
374,eGPU
375,FAQ
376,Fiber Optic Cable
377,Firewall
378,FPU
379,Freeware
380,FTP
381,FAT32
382,Flash
383,Flash Memory
384,Firewire
385,Format
386,Frame
387,File
388,Folder
389,FSB
390,Font
391,File Extension
392,File System
393,Firmware
394,Frozen
395,Flat File
396,Fios
397,Floppy Disk
398,Floating Point
399,Flaming
400,Flatbed
401,FIFO
402,Filename
403,Facebook
404,Flowchart
405,Flash Drive
406,FLOPS
407,Friend
408,Finder
409,Formula
410,Favorites
411,Function
412,Friendly URL
413,File Format
414,File Type
415,File Association
416,File Compression
417,File Server
418,FDDI
419,Frequency
420,Full-Duplex
421,Footer
422,Framework
423,Font Case
424,Fragmentation
425,Favicon
426,Field
427,FILO
428,FQDN
429,Flexible
430,FPS
431,Fluid Layout
432,FPGA
433,Function Key
434,Filter
435,Flag
436,Gateway
437,GIF
438,Gigabyte
439,GIGO
440,GPS
441,GUI
442,GPU
443,GIS
444,Gopher
445,Gibibyte
446,Google
447,Gnutella
448,Gigahertz
449,GUID
450,Gigaflops
451,Graphics
452,Gamma Correction
453,Golden Master
454,GNU
455,Goodput
456,Grayscale
457,Gbps
458,Graymail
459,Google Drive
460,Grep
461,Gigabit
462,GPIO
463,Grid Computing
464,GPGPU
465,Greenfield
466,Garbage Collection
467,GDPR
468,Handle
469,Hit
470,Home Page
471,Host
472,HTML
473,HTTP
474,Hub
475,Hypertext
476,Hacker
477,Hard Drive
478,Hyperlink
479,Hyper-Threading
480,HDV
481,Hexadecimal
482,HFS
483,Hard Disk
484,Hover
485,HDTV
486,Halftone
487,Horizontal Market Software
488,Heuristic
489,Heat Sink
490,HSF
491,Hard Token
492,Hardware
493,HDMI
494,Hard Copy
495,Hypermedia
496,HTTPS
497,Hibernate
498,Hertz
499,Hashtag
500,Half-Duplex
501,Hot Swappable
502,Heap
503,Header
504,HDD
505,Honeypot
506,Heartbleed
507,HTML5
508,Handshake
